time,energy,datetime,date,year,month,day,hour,minute,runningdate
1641312000,0.25,2022-01-04T16:00:00Z,2022-01-04,2022,1,4,16,0,104
1641313800,0.72,2022-01-04T16:30:00Z,2022-01-04,2022,1,4,16,30,104
1641315600,1.54,2022-01-04T17:00:00Z,2022-01-04,2022,1,4,17,0,104
1641317400,1.07,2022-01-04T17:30:00Z,2022-01-04,2022,1,4,17,30,104
1641319200,0.4,2022-01-04T18:00:00Z,2022-01-04,2022,1,4,18,0,104
1641321000,0.36,2022-01-04T18:30:00Z,2022-01-04,2022,1,4,18,30,104
1641322800,0.37,2022-01-04T19:00:00Z,2022-01-04,2022,1,4,19,0,104
1641324600,0.28,2022-01-04T19:30:00Z,2022-01-04,2022,1,4,19,30,104
1641326400,0.47,2022-01-04T20:00:00Z,2022-01-04,2022,1,4,20,0,104
1641328200,0.45,2022-01-04T20:30:00Z,2022-01-04,2022,1,4,20,30,104
1641330000,0.34,2022-01-04T21:00:00Z,2022-01-04,2022,1,4,21,0,104
1641331800,0.34,2022-01-04T21:30:00Z,2022-01-04,2022,1,4,21,30,104
1641333600,0.25,2022-01-04T22:00:00Z,2022-01-04,2022,1,4,22,0,104
1641335400,0.23,2022-01-04T22:30:00Z,2022-01-04,2022,1,4,22,30,104
1641337200,0.35,2022-01-04T23:00:00Z,2022-01-04,2022,1,4,23,0,104
1641339000,0.53,2022-01-04T23:30:00Z,2022-01-04,2022,1,4,23,30,104
1641340800,0.14,2022-01-05T00:00:00Z,2022-01-05,2022,1,5,0,0,105
1641342600,0.56,2022-01-05T00:30:00Z,2022-01-05,2022,1,5,0,30,105
1641344400,0.31,2022-01-05T01:00:00Z,2022-01-05,2022,1,5,1,0,105
1641346200,0.15,2022-01-05T01:30:00Z,2022-01-05,2022,1,5,1,30,105
1641348000,0.09,2022-01-05T02:00:00Z,2022-01-05,2022,1,5,2,0,105
1641349800,0.13,2022-01-05T02:30:00Z,2022-01-05,2022,1,5,2,30,105
1641351600,0.13,2022-01-05T03:00:00Z,2022-01-05,2022,1,5,3,0,105
1641353400,0.11,2022-01-05T03:30:00Z,2022-01-05,2022,1,5,3,30,105
1641355200,0.15,2022-01-05T04:00:00Z,2022-01-05,2022,1,5,4,0,105
1641357000,0.14,2022-01-05T04:30:00Z,2022-01-05,2022,1,5,4,30,105
1641358800,0.13,2022-01-05T05:00:00Z,2022-01-05,2022,1,5,5,0,105
1641360600,0.24,2022-01-05T05:30:00Z,2022-01-05,2022,1,5,5,30,105
1641362400,0.32,2022-01-05T06:00:00Z,2022-01-05,2022,1,5,6,0,105
1641364200,0.52,2022-01-05T06:30:00Z,2022-01-05,2022,1,5,6,30,105
1641366000,0.42,2022-01-05T07:00:00Z,2022-01-05,2022,1,5,7,0,105
1641367800,0.28,2022-01-05T07:30:00Z,2022-01-05,2022,1,5,7,30,105
1641369600,0.16,2022-01-05T08:00:00Z,2022-01-05,2022,1,5,8,0,105
1641371400,0.27,2022-01-05T08:30:00Z,2022-01-05,2022,1,5,8,30,105
1641373200,0.16,2022-01-05T09:00:00Z,2022-01-05,2022,1,5,9,0,105
1641375000,0.29,2022-01-05T09:30:00Z,2022-01-05,2022,1,5,9,30,105
1641376800,0.13,2022-01-05T10:00:00Z,2022-01-05,2022,1,5,10,0,105
1641378600,0.13,2022-01-05T10:30:00Z,2022-01-05,2022,1,5,10,30,105
1641380400,0.13,2022-01-05T11:00:00Z,2022-01-05,2022,1,5,11,0,105
1641382200,0.11,2022-01-05T11:30:00Z,2022-01-05,2022,1,5,11,30,105
1641384000,0.15,2022-01-05T12:00:00Z,2022-01-05,2022,1,5,12,0,105
